1boy, 9s \(nier:automata\), nier \(series\), white hair, covered eyes
1boy, fujimaru ritsuka \(male\), fate \(series\), black hair, blue eyes
1boy, fujisaki chihiro, danganronpa \(series\), brown hair, brown eyes
1boy, fushiguro megumi, jujutsu kaisen, black hair, green eyes
1boy, gamagoori ira, kill la kill, blonde hair, brown eyes
1boy, getou suguru, jujutsu kaisen, black hair, blue eyes
1boy, gilgamesh \(fate\), fate \(series\), blonde hair, red eyes
1boy, giorno giovanna, jojo no kimyou na bouken, blonde hair, blue eyes
1boy, gladion \(pokemon\), pokemon, blonde hair, green eyes
1boy, goh \(pokemon\), pokemon, black hair, blue eyes
1boy, gojou satoru, jujutsu kaisen, white hair, blue eyes
1boy, gran \(granblue fantasy\), granblue fantasy, brown hair, brown eyes
1boy, guido mista, jojo no kimyou na bouken, blonde hair, black eyes
1boy, gyro zeppeli, jojo no kimyou na bouken, blonde hair, blue eyes
1boy, hanamura yousuke, persona, brown hair, brown eyes
1boy, hawks \(boku no hero academia\), boku no hero academia, facial hair, blue eyes
1boy, higashikata josuke, jojo no kimyou na bouken, black hair, blue eyes
1boy, hilbert \(pokemon\), pokemon, brown hair, blue eyes
1boy, hinata hajime, danganronpa \(series\), brown hair, brown eyes
1boy, hiro \(darling in the franxx\), darling in the franxx, black hair, blue eyes
1boy, honebami toushirou, touken ranbu, white hair, purple eyes
1boy, horikawa kunihiro, touken ranbu, black hair, blue eyes
1boy, ib \(ib\), ib, brown hair, red eyes
1boy, ikari shinji, neon genesis evangelion, brown hair, blue eyes
1boy, ike \(fire emblem\), fire emblem, blue hair, blue eyes
1boy, inkling boy, splatoon \(series\), tentacle hair, blue eyes
1boy, iskandar \(fate\), fate \(series\), facial hair, red eyes
1boy, itadori yuuji, jujutsu kaisen, pink hair, brown eyes
1boy, ivan karelin, tiger & bunny, blonde hair, purple eyes
1boy, izumi-no-kami kanesada, touken ranbu, black hair, blue eyes
1boy, james \(pokemon\), pokemon, green eyes, blue hair
1boy, jean pierre polnareff, jojo no kimyou na bouken, grey hair, blue eyes
1boy, johnny joestar, jojo no kimyou na bouken, blonde hair, blue eyes
1boy, jonathan joestar, jojo no kimyou na bouken, blonde hair, blue eyes
1boy, joseph joestar \(old\), jojo no kimyou na bouken, facial hair, green eyes
1boy, joseph joestar \(young\), jojo no kimyou na bouken, blonde hair, green eyes
1boy, joseph joestar, jojo no kimyou na bouken, blonde hair, green eyes
1boy, kaburagi t. kotetsu, tiger & bunny, brown hair, brown eyes
1boy, kaedehara kazuha, genshin impact, red hair, red eyes
1boy, kaeya \(genshin impact\), genshin impact, blue hair, blue eyes
1boy, kagamine len, vocaloid, blonde hair, blue eyes
1boy, kaito \(vocaloid\), vocaloid, blue hair, blue eyes
1boy, kakyoin noriaki, jojo no kimyou na bouken, red hair, green eyes
1boy, kamado tanjirou, kimetsu no yaiba, black hair, red eyes
1boy, kamijou touma, toaru majutsu no index, black hair, brown eyes
1boy, kamisato ayato, genshin impact, blue hair, blue eyes
1boy, kamui gakupo, vocaloid, purple hair, blue eyes
1boy, kamukura izuru, danganronpa \(series\), red eyes, black hair
1boy, kaneki ken, tokyo ghoul, red eyes, white hair
1boy, karna \(fate\), fate \(series\), white hair, blue eyes
1boy, kars \(jojo\), jojo no kimyou na bouken, purple hair, red eyes
1boy, kashuu kiyomitsu, touken ranbu, red eyes, brown hair
1boy, katsuki yuuri, yuri!!! on ice, black hair, brown eyes
1boy, kaveh \(genshin impact\), genshin impact, blonde hair, red eyes
1boy, killua zoldyck, hunter x hunter, white hair, blue eyes
1boy, king hassan \(fate\), fate \(series\), orange hair, black eyes
1boy, kirino ranmaru, inazuma eleven \(series\), pink hair, blue eyes
1boy, kirito, sword art online, black hair, black eyes
1boy, kisaragi shintarou, kagerou project, black hair, red eyes
1boy, kishibe rohan, jojo no kimyou na bouken, black hair, green eyes
1boy, koizumi itsuki, suzumiya haruhi no yuuutsu, brown hair, brown eyes
1boy, komaeda nagito, danganronpa \(series\), grey hair, brown eyes
1boy, kotomine kirei, fate \(series\), brown hair, brown eyes
1boy, kujo jotaro, jojo no kimyou na bouken, black hair, blue eyes
1boy, kurosaki ichigo, bleach, orange hair, brown eyes
1boy, kyon, suzumiya haruhi no yuuutsu, brown hair, brown eyes
1boy, lelouch vi britannia, code geass, black hair, purple eyes
1boy, leon \(pokemon\), pokemon, purple hair, yellow eyes
1boy, leon s. kennedy, resident evil, brown hair, blue eyes
1boy, levi \(shingeki no kyojin\), shingeki no kyojin, black hair, black eyes
1boy, link, the legend of zelda, blonde hair, blue eyes
1boy, lio fotia, promare, green hair, purple eyes
1boy, little boy admiral \(kancolle\), kantai collection, brown hair, brown eyes
1boy, lucas \(pokemon\), pokemon, black hair, blue eyes
1boy, maebara keiichi, higurashi no naku koro ni, brown hair, blue eyes
1boy, marth \(fire emblem\), fire emblem, blue hair, blue eyes
1boy, matou kariya, fate \(series\), white hair, purple eyes
1boy, matsuno karamatsu, osomatsu-san, black hair, blue eyes
1boy, matsuno osomatsu, osomatsu-san, black hair, red eyes
1boy, merlin \(fate\), fate \(series\), white hair, purple eyes
1boy, midare toushirou, touken ranbu, blonde hair, blue eyes
1boy, midoriya izuku, boku no hero academia, green hair, green eyes
1boy, mikazuki munechika, touken ranbu, blue eyes, blue hair
1boy, momota kaito, danganronpa \(series\), facial hair, purple eyes
1boy, monkey d. luffy, one piece, black hair, black eyes
1boy, morichika rinnosuke, touhou, grey hair, yellow eyes
1boy, mountain \(arknights\), arknights, white hair, blue eyes
1boy, n \(pokemon\), pokemon, green hair, blue eyes
1boy, naegi makoto, danganronpa \(series\), brown hair, brown eyes
1boy, nagisa kaworu, neon genesis evangelion, red eyes, grey hair
1boy, namazuo toushirou, touken ranbu, black hair, purple eyes
1boy, nanami kento, jujutsu kaisen, blonde hair, blue eyes
1boy, napoleon bonaparte \(fate\), fate \(series\), facial hair, blue eyes
1boy, narukami yuu, persona, grey hair, grey eyes
1boy, nate \(pokemon\), pokemon, brown eyes, brown eyes
1boy, natsuki subaru, re:zero kara hajimeru isekai seikatsu, black hair, blue eyes
1boy, oberon \(fate\), fate \(series\), blue eyes, grey hair
1boy, oma kokichi, danganronpa \(series\), black hair, purple eyes
1boy, oreki houtarou, hyouka, black hair, green eyes
1boy, phosphophyllite, houseki no kuni, crystal hair, green eyes
1boy, piers \(pokemon\), pokemon, two-tone hair, green eyes
1boy, pipimi, poptepipic, blue hair, blue eyes
1boy, producer \(idolmaster cinderella girls anime\), idolmaster, black hair, brown eyes
1boy, producer \(idolmaster\), idolmaster, brown hair, brown eyes
1boy, ragna the bloodedge, blazblue, red eyes, white hair
1boy, raihan \(pokemon\), pokemon, black hair, green eyes
1boy, red \(pokemon\), pokemon, brown hair, brown eyes
1boy, reiner braun, shingeki no kyojin, blonde hair, blue eyes
1boy, rex \(xenoblade\), xenoblade chronicles \(series\), red hair, yellow eyes
1boy, robin \(male\) \(fire emblem\), fire emblem, white hair, blue eyes
1boy, roronoa zoro, one piece, green hair, black eyes
1boy, ru-class battleship, kantai collection, black hair, blue eyes
1boy, ryoumen sukuna \(jujutsu kaisen\), jujutsu kaisen, red eyes, black hair
1boy, ryu \(street fighter\), street fighter, black hair, blue eyes
1boy, saihara shuichi, danganronpa \(series\), black hair, brown eyes
1boy, saitama \(one-punch man\), one-punch man, green eyes, green hair
1boy, sakata gintoki, gintama, white hair, red eyes
1boy, sanageyama uzu, kill la kill, green hair, blue eyes
1boy, sanji \(one piece\), one piece, blonde hair, blue eyes
1boy, satou kazuma, kono subarashii sekai ni shukufuku wo!, brown hair, red eyes
1boy, scaramouche \(genshin impact\), genshin impact, purple eyes, purple hair
1boy, sephiroth, final fantasy, grey hair, green eyes
1boy, simon \(ttgl\), tengen toppa gurren lagann, blue hair, blue eyes
1boy, slaine troyard, aldnoah.zero, blonde hair, green eyes
1boy, son gohan, dragon ball, black hair, black eyes
1boy, son goku, dragon ball, black hair, black eyes
1boy, sonic the hedgehog, sonic \(series\), green eyes, blue hair
1boy, sora \(kingdom hearts\), kingdom hearts, brown hair, blue eyes
1boy, steven stone, pokemon, blue hair, blue eyes
1boy, t-head admiral, kantai collection, brown hair, blue eyes
1boy, t-head trainer, umamusume, brown hair, blue eyes
1boy, tartaglia \(genshin impact\), genshin impact, orange hair, blue eyes
1boy, tatsumi kanji, persona, blonde hair, blue eyes
1boy, tenma tsukasa, project sekai, blonde hair, orange eyes
1boy, tighnari \(genshin impact\), genshin impact, green hair, green eyes
1boy, todoroki shouto, boku no hero academia, red hair, blue eyes
1boy, tohsaka tokiomi, fate \(series\), brown hair, blue eyes
1boy, toon link, the legend of zelda, blonde hair, blue eyes
1boy, trafalgar law, one piece, facial hair, yellow eyes
1boy, trainer \(umamusume\), umamusume, brown hair, blue eyes
1boy, tsurumaru kuninaga, touken ranbu, white hair, yellow eyes
1boy, twilight \(spy x family\), spy x family, blonde hair, blue eyes
1boy, uryuu ryuunosuke, fate \(series\), orange hair, black eyes
1boy, ushiromiya battler, umineko no naku koro ni, red hair, blue eyes
1boy, vegeta, dragon ball, black hair, black eyes
1boy, venti \(genshin impact\), genshin impact, black hair, green eyes
1boy, victor \(pokemon\), pokemon, brown hair, brown eyes
1boy, viktor nikiforov, yuri!!! on ice, black hair, blue eyes
1boy, wanderer \(genshin impact\), genshin impact, purple eyes, purple hair
1boy, waver velvet, fate \(series\), black hair, green eyes
1boy, xiao \(genshin impact\), genshin impact, yellow eyes, green hair
1boy, xingqiu \(genshin impact\), genshin impact, blue hair, yellow eyes
1boy, yamato-no-kami yasusada, touken ranbu, blue eyes, black hair
1boy, yuri lowell, tales of \(series\), black hair, black eyes
1boy, yuuki makoto, persona, blue hair, blue eyes
1boy, zhongli \(genshin impact\), genshin impact, brown hair, yellow eyes
